x1,x2,y1,y2
-0.02288,-0.0224879,-0.0197735,-0.0202002
-0.0224879,-0.0221614,-0.0202002,-0.0205858
-0.0221614,-0.0219278,-0.0205858,-0.020913
-0.0219278,-0.0217599,-0.020913,-0.0211985
-0.02288,-0.0224316,-0.0197735,-0.0205837
-0.0224316,-0.0221129,-0.0205837,-0.021431
-0.0221129,-0.022002,-0.021431,-0.0223077
-0.022002,-0.022104,-0.0223077,-0.0231631
-0.022104,-0.0223657,-0.0231631,-0.0239521
-0.0223657,-0.0227091,-0.0239521,-0.0246823
-0.0171255,-0.0165531,-0.0269135,-0.02589
-0.0165531,-0.0159255,-0.02589,-0.0250836
-0.0159255,-0.0152073,-0.0250836,-0.024618
-0.0152073,-0.0143936,-0.024618,-0.0244906
-0.0143936,-0.013507,-0.0244906,-0.0246084
-0.013507,-0.0125832,-0.0246084,-0.0248476
-0.0171255,-0.017146,-0.0269135,-0.0279393
-0.017146,-0.0172319,-0.0279393,-0.0287158
-0.0172319,-0.0174374,-0.0287158,-0.0290935
-0.0174374,-0.0177891,-0.0290935,-0.0290628
-0.0177891,-0.0182737,-0.0290628,-0.0287231
-0.0182737,-0.0188373,-0.0287231,-0.0282235
-0.0354202,-0.0343866,0.0171208,0.0157441
-0.0343866,-0.0334068,0.0157441,0.0144224
-0.0334068,-0.0325369,0.0144224,0.0131774
-0.0325369,-0.0318109,0.0131774,0.0120007
-0.0318109,-0.0312039,0.0120007,0.0108878
-0.0312039,-0.0306255,0.0108878,0.00985937
-0.0306255,-0.0299582,0.00985937,0.00895106
-0.0299582,-0.0291129,0.00895106,0.00818853
-0.0291129,-0.0280619,0.00818853,0.00757843
-0.0280619,-0.0268351,0.00757843,0.00711958
-0.0268351,-0.025499,0.00711958,0.00681535
-0.025499,-0.0241359,0.00681535,0.00667155
-0.0241359,-0.0228279,0.00667155,0.00668514
-0.0228279,-0.0216399,0.00668514,0.00683916
-0.0216399,-0.0206056,0.00683916,0.00710815
-0.0206056,-0.019723,0.00710815,0.00746524
-0.019723,-0.0189594,0.00746524,0.00788354
-0.0189594,-0.0182609,0.00788354,0.00833383
-0.0354202,-0.0354889,0.0171208,0.0194359
-0.0354889,-0.0355574,0.0194359,0.0217483
-0.036132,-0.0348589,0.0122756,0.0125287
-0.0348589,-0.0336796,0.0125287,0.0125652
-0.0336796,-0.0326717,0.0125652,0.0122605
-0.0326717,-0.0318667,0.0122605,0.0116211
-0.0318667,-0.0312228,0.0116211,0.0107589
-0.0312228,-0.0306306,0.0107589,0.0098245
-0.0306306,-0.0299592,0.0098245,0.00894384
-0.0299592,-0.0291131,0.00894384,0.00818746
-0.0291131,-0.0280619,0.00818746,0.00757833
-0.0280619,-0.0268351,0.00757833,0.00711957
-0.0268351,-0.025499,0.00711957,0.00681535
-0.025499,-0.0241359,0.00681535,0.00667155
-0.0241359,-0.0228279,0.00667155,0.00668514
-0.0228279,-0.0216399,0.00668514,0.00683916
-0.0216399,-0.0206056,0.00683916,0.00710815
-0.0206056,-0.019723,0.00710815,0.00746524
-0.019723,-0.0189594,0.00746524,0.00788354
-0.0189594,-0.0182609,0.00788354,0.00833383
-0.036132,-0.0371508,0.0122756,0.011454
-0.0371508,-0.0381687,0.011454,0.0106345
-0.0190307,-0.0192637,0.00631563,0.00553785
-0.0192637,-0.0195324,0.00553785,0.00476432
-0.0195324,-0.0198574,0.00476432,0.00399892
-0.0198574,-0.020234,0.00399892,0.00325062
-0.020234,-0.0206335,0.00325062,0.0025387
-0.0206335,-0.0210184,0.0025387,0.0018861
-0.0210184,-0.0213661,0.0018861,0.00130087
-0.0213661,-0.0216836,0.00130087,0.000761471
-0.0190307,-0.0187628,0.00631563,0.00701837
-0.0187628,-0.0185061,0.00701837,0.0076911
-0.0185061,-0.0182609,0.0076911,0.00833383
0.0115734,0.0112769,0.00369452,0.00429555
0.0112769,0.0111266,0.00429555,0.00491222
0.0111266,0.0112066,0.00491222,0.00549342
0.0112066,0.0115141,0.00549342,0.0059118
0.0115141,0.0119822,0.0059118,0.00602438
0.0119822,0.0125235,0.00602438,0.00576027
0.0125235,0.0130657,0.00576027,0.00516773
0.0130657,0.0135669,0.00516773,0.004382
0.0135669,0.0140174,0.004382,0.00353807
0.0140174,0.0144342,0.00353807,0.00269955
0.0115734,0.0125386,0.00369452,0.00334656
0.0125386,0.0134922,0.00334656,0.0030149
0.0134922,0.0144342,0.0030149,0.00269955
0.0163969,0.0163695,0.0127437,0.010787
0.0163695,0.0164384,0.010787,0.00894036
0.0164384,0.0166482,0.00894036,0.00725745
0.0166482,0.0169758,0.00725745,0.00572467
0.0169758,0.0173514,0.00572467,0.00430252
0.0173514,0.0176908,0.00430252,0.00298554
0.0176908,0.0179208,0.00298554,0.00183421
0.0179208,0.0179958,0.00183421,0.000953401
0.0179958,0.017907,0.000953401,0.000431316
0.017907,0.0176767,0.000431316,0.000283199
0.0176767,0.017338,0.000283199,0.000440496
0.017338,0.0169171,0.000440496,0.000788215
0.0169171,0.0164348,0.000788215,0.00121541
0.0164348,0.0159238,0.00121541,0.00164224
0.0159238,0.0154346,0.00164224,0.00201874
0.0154346,0.0150182,0.00201874,0.00231713
0.0150182,0.0146942,0.00231713,0.00253457
0.0146942,0.0144342,0.00253457,0.00269955
0.0163969,0.0165915,0.0127437,0.0139023
0.0165915,0.0167749,0.0139023,0.0150142
0.0167749,0.0169472,0.0150142,0.0160795
-0.0194318,-0.019552,-0.0185109,-0.0171549
-0.019552,-0.0196445,-0.0171549,-0.0157704
-0.0196445,-0.0196989,-0.0157704,-0.0143424
-0.0196989,-0.0197256,-0.0143424,-0.0128794
-0.0197256,-0.0197463,-0.0128794,-0.0114175
-0.0197463,-0.0197827,-0.0114175,-0.0100139
-0.0197827,-0.0198503,-0.0100139,-0.00872745
-0.0198503,-0.0199561,-0.00872745,-0.00759425
-0.0199561,-0.0200982,-0.00759425,-0.00661373
-0.0200982,-0.0202676,-0.00661373,-0.0057557
-0.0202676,-0.0204524,-0.0057557,-0.00498235
-0.0204524,-0.0206424,-0.00498235,-0.00426735
-0.0206424,-0.0208286,-0.00426735,-0.00359873
-0.0208286,-0.0210011,-0.00359873,-0.00296753
-0.0210011,-0.0211513,-0.00296753,-0.00235717
-0.0211513,-0.0212773,-0.00235717,-0.00174626
-0.0212773,-0.0213852,-0.00174626,-0.0011222
-0.0213852,-0.021485,-0.0011222,-0.000489225
-0.021485,-0.0215838,-0.000489225,0.000140145
-0.0215838,-0.0216836,0.000140145,0.000761471
-0.0194318,-0.0182496,-0.0185109,-0.0200352
-0.0182496,-0.0170695,-0.0200352,-0.0214295
-0.0170695,-0.0159015,-0.0214295,-0.0226035
-0.0159015,-0.0147614,-0.0226035,-0.0235298
-0.0147614,-0.0136585,-0.0235298,-0.0242477
-0.0136585,-0.0125832,-0.0242477,-0.0248476
0.0353778,0.0352331,-0.0044573,-0.00540581
0.0352331,0.0350288,-0.00540581,-0.00635019
0.0350288,0.0347656,-0.00635019,-0.00729533
0.0347656,0.034507,-0.00729533,-0.00825354
0.034507,0.0343257,-0.00825354,-0.00922874
0.0343257,0.034251,-0.00922874,-0.0101973
0.034251,0.0342608,-0.0101973,-0.0111057
0.0342608,0.0343121,-0.0111057,-0.0118977
0.0343121,0.0343724,-0.0118977,-0.0125546
0.0343724,0.0344305,-0.0125546,-0.0131205
0.0353778,0.0347657,-0.0044573,-0.00383227
0.0347657,0.0341694,-0.00383227,-0.00327168
0.0341694,0.0335889,-0.00327168,-0.00277553
-0.00578515,-0.00522149,0.00395294,0.00278448
-0.00522149,-0.00472084,0.00278448,0.00169712
-0.00472084,-0.00431518,0.00169712,0.000744076
-0.00431518,-0.00399595,0.000744076,-7.08348e-05
-0.00399595,-0.00372588,-7.08348e-05,-0.000798447
-0.00578515,-0.00716628,0.00395294,0.00344291
-0.00716628,-0.00831138,0.00344291,0.00288211
-0.00831138,-0.00902978,0.00288211,0.00227152
-0.00902978,-0.00921652,0.00227152,0.00166791
-0.00921652,-0.00887827,0.00166791,0.00113946
-0.00887827,-0.00813045,0.00113946,0.000716464
-0.00813045,-0.00715724,0.000716464,0.000378795
-0.00715724,-0.00614564,0.000378795,8.23665e-05
-0.00614564,-0.00522386,8.23665e-05,-0.000206946
-0.00522386,-0.00443111,-0.000206946,-0.000500978
-0.00443111,-0.00372588,-0.000500978,-0.000798447
0.00227415,-0.000728399,-0.000789649,-0.000793688
-0.000728399,-0.00372588,-0.000793688,-0.000798447
0.00227415,0.00534374,-0.000789649,1.82236e-05
0.00534374,0.00808534,1.82236e-05,0.00079618
0.00808534,0.0103085,0.00079618,0.00149036
0.0103085,0.0120092,0.00149036,0.00203985
0.0120092,0.0133209,0.00203985,0.00242496
0.0133209,0.0144342,0.00242496,0.00269955
-0.0214686,-0.0211916,-0.0164121,-0.0152481
-0.0211916,-0.0210017,-0.0152481,-0.0140854
-0.0210017,-0.0209546,-0.0140854,-0.0129555
-0.0209546,-0.0210541,-0.0129555,-0.0119272
-0.0210541,-0.0212505,-0.0119272,-0.0110843
-0.0212505,-0.021462,-0.0110843,-0.0104868
-0.021462,-0.0216128,-0.0104868,-0.0101406
-0.0216128,-0.0216667,-0.0101406,-0.00999573
-0.0216667,-0.0216343,-0.00999573,-0.00997405
-0.0216343,-0.0215509,-0.00997405,-0.0100063
-0.0215509,-0.0214482,-0.0100063,-0.0100531
-0.0214686,-0.0215639,-0.0164121,-0.0172335
-0.0215639,-0.0216125,-0.0172335,-0.0181112
-0.0216125,-0.0216048,-0.0181112,-0.0190727
-0.0216048,-0.0215802,-0.0190727,-0.0201065
-0.0215802,-0.0216053,-0.0201065,-0.0211678
-0.0216053,-0.0217343,-0.0211678,-0.0221939
-0.0217343,-0.0219814,-0.0221939,-0.023127
-0.0219814,-0.0223212,-0.023127,-0.0239448
-0.0223212,-0.0227091,-0.0239448,-0.0246823
-0.0345776,-0.0326182,-0.027301,-0.0284522
-0.0326182,-0.0307132,-0.0284522,-0.0293309
-0.0307132,-0.0289172,-0.0293309,-0.0297835
-0.0289172,-0.0272913,-0.0297835,-0.0298046
-0.0272913,-0.0259019,-0.0298046,-0.0294758
-0.0259019,-0.0248015,-0.0294758,-0.028891
-0.0248015,-0.0240013,-0.028891,-0.0281292
-0.0240013,-0.0234631,-0.0281292,-0.0272657
-0.0234631,-0.0231166,-0.0272657,-0.0263758
-0.0231166,-0.0228866,-0.0263758,-0.0255125
-0.0228866,-0.0227091,-0.0255125,-0.0246823
-0.0345776,-0.0352717,-0.027301,-0.0245704
-0.0352717,-0.0356721,-0.0245704,-0.0222539
-0.0356721,-0.0356196,-0.0222539,-0.020631
-0.0356196,-0.0351317,-0.020631,-0.0197715
-0.0351317,-0.034342,-0.0197715,-0.0195414
-0.034342,-0.0334098,-0.0195414,-0.0196612
-0.019586,-0.0205921,-0.027822,-0.0276961
-0.0205921,-0.021466,-0.0276961,-0.0274951
-0.021466,-0.022117,-0.0274951,-0.0271624
-0.022117,-0.0225194,-0.0271624,-0.0266794
-0.0225194,-0.0227059,-0.0266794,-0.0260722
-0.0227059,-0.022744,-0.0260722,-0.0253915
-0.022744,-0.0227091,-0.0253915,-0.0246823
-0.019586,-0.0192113,-0.027822,-0.0280228
-0.0192113,-0.0188373,-0.0280228,-0.0282235
-0.0303067,-0.0298386,-0.0218056,-0.0230078
-0.0298386,-0.0293816,-0.0230078,-0.0238848
-0.0293816,-0.028925,-0.0238848,-0.024235
-0.028925,-0.0284359,-0.024235,-0.0240445
-0.0284359,-0.0278738,-0.0240445,-0.0234647
-0.0278738,-0.027199,-0.0234647,-0.0227274
-0.027199,-0.0263775,-0.0227274,-0.0220466
-0.0263775,-0.0253934,-0.0220466,-0.0215541
-0.0253934,-0.024264,-0.0215541,-0.0212835
-0.024264,-0.0230352,-0.0212835,-0.0211926
-0.0230352,-0.0217599,-0.0211926,-0.0211985
-0.0303067,-0.0318591,-0.0218056,-0.0207327
-0.0318591,-0.0334098,-0.0207327,-0.0196612
0.0031572,-0.00064678,-0.0111529,-0.0105116
-0.00064678,-0.00387328,-0.0105116,-0.00969474
-0.00387328,-0.00620692,-0.00969474,-0.00861976
-0.00620692,-0.00766265,-0.00861976,-0.00731228
-0.00766265,-0.00844869,-0.00731228,-0.00585675
-0.00844869,-0.00877454,-0.00585675,-0.00435648
-0.00877454,-0.00875034,-0.00435648,-0.00293265
-0.00875034,-0.00840824,-0.00293265,-0.00172394
-0.00840824,-0.00778032,-0.00172394,-0.000850111
-0.00778032,-0.00695138,-0.000850111,-0.000360017
-0.00695138,-0.00604859,-0.000360017,-0.000211916
-0.00604859,-0.00518739,-0.000211916,-0.000303595
-0.00518739,-0.00442074,-0.000303595,-0.000525691
-0.00442074,-0.00372588,-0.000525691,-0.000798447
0.0031572,0.00774039,-0.0111529,-0.0102093
0.00774039,0.0115837,-0.0102093,-0.00924177
0.0115837,0.0142949,-0.00924177,-0.00825055
0.0142949,0.0159314,-0.00825055,-0.0072682
0.0159314,0.0168368,-0.0072682,-0.00634733
0.0168368,0.0173904,-0.00634733,-0.00553642
0.0173904,0.0178488,-0.00553642,-0.00485798
0.0178488,0.0183224,-0.00485798,-0.00429783
0.0183224,0.0188243,-0.00429783,-0.00380733
-0.0205251,-0.0207538,-0.00463478,-0.00386726
-0.0207538,-0.0209609,-0.00386726,-0.00313322
-0.0209609,-0.0211333,-0.00313322,-0.00244315
-0.0211333,-0.0212706,-0.00244315,-0.00178334
-0.0212706,-0.0213831,-0.00178334,-0.00113524
-0.0213831,-0.0214845,-0.00113524,-0.000492869
-0.0214845,-0.0215837,-0.000492869,0.000139379
-0.0215837,-0.0216836,0.000139379,0.000761471
-0.0205251,-0.0205998,-0.00463478,-0.00545256
-0.0205998,-0.0206651,-0.00545256,-0.00623289
-0.0206651,-0.0207211,-0.00623289,-0.00697575
-0.0216291,-0.0217918,-0.00770286,-0.00829124
-0.0217918,-0.0218951,-0.00829124,-0.00882688
-0.0218951,-0.0219075,-0.00882688,-0.0092695
-0.0219075,-0.0218362,-0.0092695,-0.00959977
